epiweek,week_start,cases,incidence,temp_est,humidity_est
202201,1641081600000,977,31.9787998199,21.9415975714,84.7637071429
202202,1641686400000,1008,32.9934806824,21.529762,81.8159628571
202203,1642291200000,1149,37.6086387634,24.0661762857,60.8991127143
202204,1642896000000,1383,45.2678413391,23.329365,68.8524324286
202205,1643500800000,1524,49.8829994202,22.8452382857,76.8378707143
202206,1644105600000,1787,58.4914207458,21.8537782857,81.1187141429
202207,1644710400000,1721,56.3311309814,21.3015871429,85.8533042857
202208,1645315200000,1869,61.1754112244,22.6666665714,77.1322252857
202209,1645920000000,2264,74.1044082642,22.3637684286,72.9869754286
202210,1646524800000,2708,88.6372451782,23.2678571429,68.221165
202211,1647129600000,3060,100.158782959,22.5005102857,79.7926615714
202212,1647734400000,3726,121.9580459595,23.4200681429,66.8086637143
202213,1648339200000,4199,137.4401092529,24.3579401429,59.8388778571
202214,1648944000000,4321,141.4333648682,23.2321428571,63.44131
202215,1649548800000,4254,139.2403411865,23.1062924286,74.8484662857
202216,1650153600000,5023,164.4109649658,22.3747414286,64.1034552857
202217,1650758400000,4578,149.8453979492,22.236472,66.4426838571
202218,1651363200000,3859,126.3113479614,22.2571428571,67.6145771429
202219,1651968000000,3497,114.4625015259,21.5833334286,65.2229281429
202220,1652572800000,3489,114.2006530762,17.3392857143,62.9035674286
202221,1653177600000,2557,83.694770813,19.1617965714,61.4327034286
202222,1653782400000,2325,76.1010360718,19.6437072857,56.3103858571
202223,1654387200000,1950,63.826675415,18.5127551429,66.5823192857
202224,1654992000000,1596,52.2396774292,20.4821425714,62.9264948571
202225,1655596800000,1455,47.6245193481,19.625,59.0751315714
202226,1656201600000,1162,38.0341529846,18.4954482857,58.8449532857
202227,1656806400000,810,26.5126190186,18.2591992857,61.0753394286
202228,1657411200000,689,22.5520915985,17.5059522857,62.5207772857
202229,1658016000000,581,19.0170764923,18.5440477143,58.6534278571
202230,1658620800000,576,18.8534183502,19.095798,54.0497742857
202231,1659225600000,515,16.8567886353,19.8380951429,52.1349268571
202232,1659830400000,564,18.4606380463,21.470238,47.8615458571
202233,1660435200000,619,20.2608776093,20.7673075714,50.4622805714
202234,1661040000000,571,18.6897602081,19.5404452857,50.569373
202235,1661644800000,625,20.4572677612,19.3575757143,49.9762477143
202236,1662249600000,639,20.9155101776,22.5362314286,41.9576865714
202237,1662854400000,671,21.9629230499,23.4399585714,43.0064551429
202238,1663459200000,627,20.5227298737,21.9340491429,75.3965907143
202239,1664064000000,701,22.9448719025,23.5778388571,64.6520471429
202240,1664668800000,613,20.0644874573,22.9918831429,64.9166772857
202241,1665273600000,649,21.2428264618,24.6547617143,46.136526
202242,1665878400000,698,22.8466758728,24.915796,44.4687085714
202243,1666483200000,592,19.377122879,22.4214288571,71.6844725714
202244,1667088000000,510,16.6931304932,21.0447995714,79.355244
202245,1667692800000,559,18.2969799042,21.0367965714,77.5294514286
202246,1668297600000,688,22.5193595886,21.5520188571,81.6690514286
202247,1668902400000,775,25.3670120239,21.1251727143,81.2759271429
202248,1669507200000,889,29.0984172821,21.3357145714,79.0060364286
202249,1670112000000,1050,34.3682098389,21.8760822857,78.3807888571
202250,1670716800000,1003,32.8298225403,22.213889,75.5618248333
202251,1671321600000,889,29.0984172821,20.677885,84.775325
202252,1671926400000,802,26.2507648468,20.05303,89.5614333333
202301,1672531200000,1013,33.1571388245,21.9821425714,76.6823057143
202302,1673136000000,1001,32.7643585205,21.1190474286,79.6281335714
202303,1673740800000,1183,38.7215156555,22.1428571429,69.4868628571
202304,1674345600000,1021,33.4189910889,20.5714285714,81.7212771429
202305,1674950400000,1260,41.2418518066,22.970238,68.9879072857
202306,1675555200000,1345,46.0085601807,23.4940477143,69.3454032857
202307,1676160000000,1174,40.1591453552,24.7142857143,58.9899425714
202308,1676764800000,1211,41.4248085022,22.1798247368,73.7145455789
202309,1677369600000,1208,41.3221855164,22.3333333333,72.9228621667
202310,1677974400000,1330,45.4954528809,22.3571428571,68.8942271429
202311,1678579200000,1298,44.4008255005,21.35,81.277472
202312,1679184000000,1529,52.3026695251,21.8560603636,71.9430174545
202313,1679788800000,1506,51.5159034729,24.4166664762,55.8554788095
202314,1680393600000,1303,44.5718612671,21.660714,75.2732408571
202315,1680998400000,1562,53.4315032959,22.4523808571,77.2057447143
202316,1681603200000,1410,48.2320213318,22.0952382857,75.3259434286
202317,1682208000000,1281,43.8193054199,21.5923913913,71.9095056522
202318,1682812800000,1427,48.8135452271,20.9333336,68.7814148
202319,1683417600000,1245,42.5878486633,21.7083335,61.188341375
202320,1684022400000,1256,42.9641265869,20.4537035556,54.5352862222
202321,1684627200000,957,32.73620224,19.1958332,60.0060449
202322,1685232000000,959,32.8046150208,21.1,63.6827369
202323,1685836800000,874,29.8970127106,19.9718714286,59.8242428571
202324,1686441600000,918,31.4021263123,21.2721571429,65.1084142857
202325,1687046400000,759,25.9631958008,18.7142857143,60.9203788571
202326,1687651200000,614,21.0031642914,19.0476191429,54.7851431429
202327,1688256000000,651,22.2688274384,17.4761905714,52.0367727143
202328,1688860800000,667,22.8161411285,20.869,53.1245857143
202329,1689465600000,560,19.1559810638,21.2161857143,54.5847
202330,1690070400000,488,16.693069458,20.7054142857,51.1926428571
202331,1690675200000,568,19.4296379089,21.2965571429,46.1240857143
202332,1691280000000,489,16.7272758484,22.7737,38.7595857143
202333,1691884800000,547,18.7112884521,21.5248,46.8448142857
202334,1692489600000,502,17.1719684601,23.4683714286,48.8183428571
202335,1693094400000,548,18.7454948425,22.5248,74.5832714286
202336,1693699200000,569,19.4638442993,23.6178857143,54.2246
202337,1694304000000,650,22.234621048,24.0610428571,44.8549
202338,1694908800000,551,18.848115921,25.8499857143,42.1223142857
202339,1695513600000,525,17.958732605,26.2397285714,54.0786857143
202340,1696118400000,522,17.8561096191,24.0071428571,70.6063285714
202341,1696723200000,398,13.6144294739,24.8936571429,67.3706285714
202342,1697328000000,534,18.2665958405,25.6340428571,51.5535714286
202343,1697932800000,415,14.1959495544,24.1523571429,69.1638571429
202344,1698537600000,486,16.6246547699,24.1432428571,71.4226571429
202345,1699142400000,626,21.4136505127,24.9718,58.1221428571
202346,1699747200000,695,23.77394104,26.4171285714,52.5197285714
202347,1700352000000,1134,38.7908592224,24.3068142857,74.1455285714
202348,1700956800000,1413,48.3346443176,24.4583285714,68.5315285714
202349,1701561600000,1823,62.3595581055,24.2570857143,67.9925857143
202350,1702166400000,2627,89.8620758057,25.2606857143,58.9966142857
202351,1702771200000,2988,102.2108383179,23.5341,71.4165714286
202352,1703376000000,3937,134.6733856201,24.1578142857,77.4403571429
202401,1703980800000,9340,319.4943847656,21.5246714286,89.4806714286
202402,1704585600000,9782,334.6139221191,22.3296857143,83.7961428571
202403,1705190400000,15007,513.3460693359,24.0098857143,72.3731714286
202404,1705795200000,21998,752.4879760742,22.5587142857,83.6999285714
202405,1706400000000,25623,876.4887084961,22.2444571429,82.4189142857
202406,1707004800000,24198,827.7435913086,21.9603428571,85.1913142857
202407,1707609600000,23969,819.91015625,22.6382428571,77.5302142857
202408,1708214400000,25714,879.6015625,21.5562142857,88.3955714286
202409,1708819200000,24823,849.123046875,24.1701428571,68.5183428571
202410,1709424000000,21609,739.1813964844,23.3449857143,79.4438
202411,1710028800000,19376,662.7969360352,24.1342571429,77.6525571429
202412,1710633600000,17439,596.5377807617,23.9585285714,79.9017
202413,1711238400000,11654,398.6496276855,22.4535857143,82.0978
202414,1711843200000,11954,408.9117736816,22.5227142857,86.0912
202415,1712448000000,10739,367.3501281738,22.7452,76.2233857143
202416,1713052800000,8542,292.1971130371,22.9952714286,71.9516714286
202417,1713657600000,6230,213.1102905273,22.5420285714,68.3651714286
202418,1714262400000,4951,169.3593902588,23.2156,61.5202571429
202419,1714867200000,4384,149.9639587402,21.8216857143,60.9340857143
202420,1715472000000,3822,130.7395629883,22.5165857143,55.8065285714
202421,1716076800000,3503,119.8274993896,22.043,58.7893857143
202422,1716681600000,2501,85.5519790649,21.0278285714,56.9949142857
202423,1717286400000,1730,59.1782989502,20.4999,61.5483857143
202424,1717891200000,1161,39.7144508362,20.3967285714,58.0647142857
202425,1718496000000,805,27.5367221832,19.6371857143,54.9992142857
202426,1719100800000,423,14.4696063995,20.6306428571,48.8884
202427,1719705600000,465,15.9063053131,20.2704714286,47.8145714286
202428,1720310400000,409,13.9907073975,21.3259,45.3511285714
202429,1720915200000,327,11.1857242584,19.2568571429,48.2817714286
202430,1721520000000,312,10.6726179123,19.2667428571,46.6519142857
202431,1722124800000,305,10.4331684113,21.2564714286,47.4732857143
202432,1722729600000,359,12.2803516388,21.0099857143,45.6172571429
202433,1723334400000,377,12.8960800171,22.1076857143,38.3598285714
202434,1723939200000,340,11.6304168701,22.9027714286,31.7903714286
202435,1724544000000,292,9.9884757996,22.8053571429,42.6537428571
202436,1725148800000,294,10.056889534,24.6672714286,26.1744285714
202437,1725753600000,304,10.3989610672,23.9103285714,32.0015
202438,1726358400000,308,10.5357894897,25.8385142857,33.2877571429
202439,1726963200000,302,10.3305463791,27.2590142857,29.1696857143
202440,1727568000000,298,10.1937179565,27.3216,30.6651714286
202441,1728172800000,324,11.0831031799,26.6405714286,53.4701142857
202442,1728777600000,347,11.8698663712,22.8356571429,77.0724142857
202443,1729382400000,411,14.0591211319,22.9986571429,78.8821571429
202444,1729987200000,516,17.6508674622,22.0840714286,79.8654142857
202445,1730592000000,667,22.8161411285,21.6592,83.4829
202446,1731196800000,634,21.6873073578,21.4708,84.4701857143
202447,1731801600000,769,26.3052654266,22.3033714286,81.1718857143
202448,1732406400000,604,20.6610927582,22.2715285714,80.0631571429
202449,1733011200000,742,25.3816738129,22.9661428571,76.3203571429
202450,1733616000000,662,22.6451053619,23.9027714286,71.4193428571
202451,1734220800000,555,18.9849452972,22.6349714286,81.9829142857
202452,1734825600000,457,15.632648468,21.8239285714,85.5948857143
